TaskID,Input1,Output1_1,Noise1_1,LST
2,-0.61702806,0.7537072,0.5086978,0
2,-0.5818606,0.68369347,0.5252492,0
2,-0.5461169,0.6204174,0.55014944,0
2,-0.50971997,0.5376607,0.61767304,0
2,-0.4725941,0.464278,0.723426,0
2,-0.43473148,0.38562256,0.65092224,0
2,-0.3962341,0.3383121,0.8176076,0
2,-0.35728273,0.29715347,0.9092992,0
2,-0.31775603,0.2288974,0.63627505,0
2,-0.27752498,0.16884394,0.63715386,0
2,-0.23653048,0.09472906,0.82903236,0
2,-0.19471535,0.030574186,0.63129497,0
2,-0.15212454,-0.031383473,0.42066804,0
2,-0.1085222,-0.12703,0.4890705,0
3,-0.79812706,1.7648044,1.143801,1
3,-0.7698398,1.7193979,0.9274617,1
3,-0.7412691,1.6605163,0.8243453,1
3,-0.7123324,1.588745,0.7458362,1
3,-0.6830351,1.535429,0.67552954,1
3,-0.6534076,1.4762546,0.6144507,1
3,-0.6233895,1.4060942,0.63305265,1
3,-0.5929043,1.32656,0.6318809,1
3,-0.561938,1.2569857,0.6992581,1
3,-0.5304342,1.165294,0.71786,1
3,-0.49834585,1.0885427,0.76150876,1
3,-0.46566296,0.9997802,0.9177945,1
3,-0.4322861,0.9032551,0.9240928,1
3,-0.39808887,0.79105735,1.0619231,1
3,-0.36290997,0.6669959,1.0632414,1
4,-0.86572737,1.6439649,0.23186542,1
4,-0.83672553,1.553738,0.19788389,1
4,-0.80719244,1.4632183,0.17532717,1
4,-0.7770998,1.370355,0.15408872,1
4,-0.7464284,1.2805675,0.1457398,1
4,-0.7151467,1.1853606,0.14017385,1
4,-0.68317866,1.0812191,0.1488157,1
4,-0.65042895,0.9690214,0.15687168,1
4,-0.6167851,0.8464243,0.14940159,1
4,-0.58213186,0.7188467,0.17239773,1
4,-0.5464177,0.59888595,0.18074664,1
4,-0.50957775,0.47189486,0.19129264,1
4,-0.47158742,0.36204076,0.20447513,1
4,-0.43262354,0.28221324,0.26467517,1
4,-0.3926023,0.16576792,0.24563381,1
4,-0.35142368,0.08008184,0.26643285,1
4,-0.30933765,0.014608773,0.27097347,1
4,-0.2664165,-0.05394031,0.281373,1
4,-0.22291699,-0.07459294,0.31828398,1
4,-0.17934717,-0.06565813,0.36720568,1
4,-0.13601659,-0.040025502,0.3887371,1
4,-0.09314534,0.0033303553,0.4676856,1
4,-0.05077826,0.03643298,0.5088443,1
4,-0.008853841,0.072025836,0.5848633,1
4,0.03266524,0.10000184,0.63627505,1
4,0.074174345,0.06953583,0.7443715,1
4,0.11619291,0.014169375,0.73939145,1
4,0.15934636,-0.11150376,0.904612,1
4,0.20470867,-0.30836236,0.97125685,1
5,-1.3305664,2.493064,0.9557308,1
5,-1.3057457,2.4211462,0.9535337,1
5,-1.2806047,2.3416119,0.7484727,1
5,-1.2550982,2.2534359,0.7960761,1
5,-1.2291726,2.155592,0.5812015,1
5,-1.2027634,2.0467634,0.65590227,1
5,-1.1757867,1.9231408,0.6554629,1
5,-1.1481346,1.7832601,0.6808026,1
5,-1.1196842,1.6284388,0.7349973,1
5,-1.0902846,1.4542837,0.7641452,1
5,-1.0597332,1.2574251,0.83415896,1
5,-1.0277805,1.0397673,0.9633473,1
5,-0.99400204,0.76996577,1.038927,1
6,-1.9378225,0.55699515,1.1287144,1
6,-1.901032,0.59126955,0.97008514,1
6,-1.8645196,0.6135332,0.723133,1
6,-1.8281152,0.6111896,0.57871145,1
6,-1.7916337,0.593906,0.468125,1
6,-1.7550125,0.57867277,0.39122713,1
6,-1.7182511,0.56138915,0.3146222,1
6,-1.681221,0.5187657,0.28166595,1
6,-1.6437653,0.47057667,0.2535433,1
6,-1.60581,0.41535637,0.23376957,1
6,-1.5672541,0.3501763,0.21853645,1
6,-1.5279992,0.28030926,0.21282403,1
6,-1.4879329,0.19974957,0.20432866,1
6,-1.4469475,0.117432065,0.20901577,1
6,-1.4049633,0.031013584,0.22161238,1
6,-1.3618933,-0.056869708,0.22058707,1
6,-1.3177055,-0.1393336,0.24753794,1
6,-1.2722534,-0.2395205,0.2904543,1
6,-1.2253549,-0.33560622,0.26936227,1
6,-1.1770241,-0.4221713,0.28151947,1
6,-1.1272377,-0.5106404,0.32443583,1
6,-1.0757661,-0.61243874,0.31769812,1
6,-1.022501,-0.6991502,0.33483535,1
6,-0.96765083,-0.7688709,0.3902018,1
6,-0.9112181,-0.84723353,0.53623456,1
6,-0.8530908,-0.91783303,0.61093533,1
6,-0.7932657,-0.9881397,0.6783126,1
6,-0.73153317,-1.0670881,0.83533067,1
7,-1.9322572,0.32688728,0.31755164,1
7,-1.8934435,0.41359878,0.33249182,1
7,-1.8551903,0.4301502,0.29543433,1
7,-1.8170316,0.4291248,0.23171894,1
7,-1.7788041,0.4137454,0.18807025,1
7,-1.7404445,0.40085578,0.17210478,1
7,-1.7018524,0.36555594,0.15233104,1
7,-1.6628213,0.3144373,0.12860255,1
7,-1.623194,0.25233302,0.12391544,1
7,-1.5828623,0.18539514,0.12098601,1
7,-1.5417144,0.108643875,0.13065316,1
7,-1.4996557,0.032185387,0.14281034,1
7,-1.4565682,-0.05643031,0.15174516,1
7,-1.4124435,-0.12600459,0.16316998,1
7,-1.3673321,-0.20070547,0.17034712,1
7,-1.3211595,-0.27394155,0.20652574,1
7,-1.2739152,-0.34336922,0.22893599,1
7,-1.2256979,-0.39785686,0.257791,1
7,-1.1764759,-0.46669874,0.27331704,1
7,-1.1258538,-0.5610269,0.20169216,1
